review_id,relationship_id,ale_model,hpe_aruba_model,recommendation,priority,evidence_integrity,environment_evidence,poe_evidence,key_deviation_assessment,procurement_validation_questions,rationale
"11","rel_96eb7263606458c23026d501","OS6360-P48","HPE Aruba Networking CX 6100 48G Class4 PoE 4SFP+ 370W Switch","keep_direct_candidate","P3：可进入人工审核","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","上行端口表现为 1G/10G 与 1G/10G SFP 对比，PoE 预算分别为 350W 与 370W，端口与 PoE 差异在合理范围内且不影响替代。","1. 核验两款设备在实际园区网部署中的环境适用性；2. 确认上行 1G/10G SFP 接口的光模块兼容性；3. 核对 350W 与 370W PoE 供电预算在满载时的余量表现。","根据受控硬门槛及证据状态分析，该候选关系的形态、下行介质、下行端口数、下行速率及 PoE 支持等决定性硬门槛均已核验通过，环境字段目前标记为待复核。关键偏离主要在于上行接口及 PoE 预算的微小差异（350W 相对 370W），设备在核心规格上高度对等，相关差异可作为采购验证项进行管理，符合推荐 keep_direct_candidate 的审阅标准。"
"12","rel_aacaec597088e824866ba262","OS6360-P48","HPE Aruba Networking CX 6200F 48G Class-4 PoE 4SFP 370W Switch","keep_direct_candidate","P3：可进入人工审核","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","上行链路存在 1G/10G 与 100M/1G 的规格差异，PoE 供电预算存在 350W 与 370W 的细微差异，但端口数量与速率等核心硬门槛完全适配，不阻碍直接候选关系。","1. 核验 Aruba CX 6200F 48G 370W 交换机的上行 SFP 端口具体速率配置及光模块兼容性是否满足现网组网需求；2. 确认 370W PoE 预算是否完全覆盖现网设备（如 AP、IP 电话等）的供电需求；3. 最终确认部署环境（园区网环境）的官方规格与兼容性。","受控关系编号 rel_aacaec597088e824866ba262 对应的 ALE 型号 OS6360-P48 与 HPE Aruba 交换机型号在形态、下行介质、下行端口数、下行速率及 PoE 支持等决定性硬门槛上均已核验一致。尽管在上行链路和 PoE 预算方面存在轻微差异（上行 1G/10G 对比 100M/1G，PoE 预算 350W 对比 370W），且环境字段处于待复核状态，但这些差异完全可以通过售前及采购阶段的配置核验进行有效管理，不影响其作为直接候选关系的一对一替代可行性。因此，建议维持直接候选关系（keep_direct_candidate），并建议产品经理在采购前针对上行配置与 PoE 预算进行专项核验。"
"13","rel_6163123702f8ff94b7473420","OS6360-P48","HPE Aruba Networking CX 6200F 48G Class-4 PoE 4SFP 740W Switch","downgrade_to_partial","P2：先验证偏离项","硬门槛部分完整；环境字段待复核","至少一方待复核","双方已核验","上行带宽（1G/10G对100M/1G）与PoE预算（350W对740W）存在关键偏离，上行速率的不对称性限制了等效的一对一直接替代能力。","1. 核验Aruba CX 6200F 48G的4个SFP上行端口是否满足现场10G上联需求；2. 核验350W与740W的PoE预算差异是否适配实际终端供电负载；3. 确认部署环境是否满足相关标准。","基于受控硬门槛记录，该关系的表单因素、下行介质、下行端口数、下行速率及PoE支持均已通过证据核验，但环境字段仍处于待复核状态（needs_review）。同时，双方在上行带宽（1G/10G对100M/1G）和PoE预算（350W对740W）上存在明确的关键偏离。由于上行速率和PoE供电能力的差异使得该设备在无缝一对一替代时存在局限性，不宜作为直接候选关系完整保留，建议降级为部分替代（downgrade_to_partial），并由产品经理或售前在采购阶段进一步核验上行及供电需求。"
"14","rel_008a4f2e3c6833ae9d594884","OS6360-P48","HPE Aruba Networking CX 6200F 48G Class-4 PoE 4SFP+ 370W Switch","keep_direct_candidate","P3：可进入人工审核","硬门槛核心参数完整；环境字段待复核。","至少一方待复核","双方已核验","上行链路存在 1G/10G 与 1/10G (SFP+) 的表述差异，PoE 预算存在 350W 与 370W 的微小差异，下行端口均为 48 端口，这些关键偏离不妨碍一对一替代。","1. 确认部署环境的具体温湿度与防护要求是否满足设备规格；2. 验证实际业务负载下的 PoE 供电预算（350W 与 370W）是否满足供电设备需求；3. 确认上行 SFP+ 模块及光纤跳线的兼容性。","根据受控硬门槛与证据状态记录，该组关系的核心硬件指标（形态、下行介质、下行端口数、下行速率及 PoE 支持）均已核验通过。虽然环境字段处于待复核状态，且上行链路与 PoE 预算存在微小数值或表述偏离，但双方在核心网络交换能力上保持高度一致，相关差异可作为采购验证项进行管理，建议维持直接候选关系。"
"15","rel_ea3893bbc0ad2d296acd5e17","OS6360-P48","HPE Aruba Networking CX 6200F 48G Class-4 PoE 4SFP+ 740W Switch","keep_direct_candidate","P3：可进入人工审核","核心硬门槛已核验通过；环境字段待复核。","至少一方待复核","双方已核验","上行接口为1G/10G与1/10G (SFP+)适配，PoE预算为350W与740W差异，Aruba更高预算不阻碍一对一替代。","1. 现场部署环境是否符合园区网（campus）应用场景规范；2. 实际接入设备的PoE总功耗是否在设备预算范围内；3. 上行10G接口及光模块配置是否与现有网络环境兼容。","基于受控硬门槛和证据状态，该记录的形态、下行介质、端口数、速率及PoE支持等核心硬门槛均已核验通过。关键偏离涉及上行接口微调及PoE预算差异（350W与740W），由于Aruba具备更高PoE预算且核心参数适配，不影响总体替代性；环境字段虽处于待复核状态，但可通过采购验证环节进行确认。因此建议维持直接候选关系，并作为采购验证项进行管理。"
"16","rel_7baccab10f766c985f02bf98","OS6360-P48","HPE Aruba Networking CX 6200F 48G Class4 PoE 4SFP+ 370W Switch","keep_direct_candidate","P3：可进入人工审核","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","下联端口数量均为48口且速率适配，上行存在 1G/10G 与 1/10G 差异，PoE 预算存在 350W 与 370W 微小差异，上述偏差未妨碍基础的一对一替代能力。","1. 建议向官方资料核实两款交换机的上行端口（1G/10G 与 1/10G）在实际部署中的模块兼容性与配置要求；2. 建议核实 PoE 功率预算（350W 对 370W）在实际满载供电场景下的冗余表现；3. 建议核实园区部署环境（campus）的具体环境适应性参数与实际场景是否完全契合。","本记录涉及 ALE 型号 OS6360-P48 与 HPE Aruba Networking CX 6200F 48G Class4 PoE 4SFP+ 370W Switch 的直接候选关系（relationship_id: rel_7baccab10f766c985f02bf98）。根据受控记录，其决定性硬门槛中形态、下联介质、下联端口数（48口）、下联速率带及 PoE 支持均已核验通过，环境字段尚待复核。关键偏离体现为上行规格与 PoE 预算的微小差异，但由于端口与基础架构适配，差异可作为采购验证项管理，因此建议保持直接候选（keep_direct_candidate）。"
"17","rel_ce4cbc107f0c4ff69c0649b9","OS6360-P48","HPE Aruba Networking CX 6200F 48G Class4 PoE 4SFP+ 740W Switch","keep_direct_candidate","P3：可进入人工审核","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","上行端口均为 1G/10G 级 SFP+ 接口，满足对接要求；PoE 预算存在差异（ALE OS6360-P48 为 350W，HPE Aruba CX 6200F 48G 为 Up to 740W），由于 Aruba 供电预算更高，不影响基本功能替代。","1. 建议向官方配置资料核实 HPE Aruba Networking CX 6200F 48G 的实际功耗与电源冗余配置；2. 核对实际部署环境是否符合校园网（Campus）运行规范及温湿度要求；3. 确认上行 1G/10G 模块与现有网络架构的兼容性。","受控硬门槛中，形态、下行介质、下行端口数、下行速率及 PoE 支持均已完成证据核验且结果通过，仅环境字段处于待复核状态。关键偏离方面，上行端口同为 1G/10G 级，PoE 预算由 ALE 的 350W 变更为 HPE Aruba 的 Up to 740W。由于 Aruba 设备的 PoE 预算更高且端口规格适配，核心硬门槛满足一对一替代条件，相关功率与环境差异可作为采购验证项进行管理，建议维持直接候选关系。"
"18","rel_f9bcbd8395822a015f0b8208","OS6360-P48","HPE Aruba Networking CX 6200M 48G Class4 PoE 4SFP+ Switch","move_to_insufficient_evidence","P1：先补证","环境硬门槛待复核；其余硬门槛证据已核验。","至少一方待复核","双方已核验","上行维持 1G/10G 对齐，但 PoE 预算存在 350W 与 1440W 的显著差异，结合环境待复核状态，不宜直接作为一对一替代。","1. 建议向官方技术资料核验环境硬门槛（部署场景）的型号级证据；2. 建议核验 PoE 预算（350W 对比 1440W）差异对实际供电与设备选型的影响。","在受控对标关系 rel_f9bcbd8395822a015f0b8208 的审阅中，决定性硬门槛中的环境字段当前状态为待复核（needs_review），尚未具备可重放的官方型号级证据。此外，关键偏离显示 PoE 预算存在 350W 与 1440W 的较大差异。基于受控硬门槛和证据状态的中性审阅原则，由于决定性硬门槛尚缺完整核验证据，审阅建议为移至证据不足。"
"19","rel_8a7e5f58ceadf22adbf72ada","OS6360-PH24","HPE Aruba Networking CX 6100 24G Class4 PoE 4SFP+ 370W Switch","keep_direct_candidate","P3：可进入人工审核","硬门槛基本完整；环境字段待复核","至少一方待复核","双方已核验","上行接口存在 1G/10G 与 1G/10G SFP 的对应差异，PoE 预算存在 380W 与 370W 的微小差值，端口保持一致，这些关键偏离不影响整体一对一替代可行性。","1. 请核验 HPE Aruba 交换机 370W PoE 预算是否满足实际供电设备的功耗需求；2. 请确认上行 1G/10G SFP 接口及光模块在现场网络中的兼容性；3. 请复核园区网环境下的具体部署合规性。","基于受控硬门槛和证据状态分析，ALE OS6360-PH24 与 HPE Aruba Networking CX 6100 24G Class4 PoE 4SFP+ 370W Switch 的核心硬门槛（形态、下行介质、下行端口数、下行速率带及 PoE 支持）均已通过验证并适配。关键偏离表现为上行接口（1G/10G ↔ 1G/10G SFP）以及 PoE 预算（380W ↔ 370W），其中 10W 的功率差与上行规格差异均可通过采购配置与兼容性核验进行管理。环境硬门槛暂处于待复核状态。由于决定性硬门槛已核验且差异可控，建议保持直接候选关系（keep_direct_candidate）。"
"20","rel_d8fac34ddfd53e5eaa106600","OS6360-PH24","HPE Aruba Networking CX 6200F 24G Class-4 PoE 4SFP 370W Switch","downgrade_to_partial","P2：先验证偏离项","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","上行速率由1G/10G变更为100M/1G，且PoE总预算由380W变更为Up to 370W，存在明显的上行及PoE预算差异，妨碍无条件的一对一直接替代。","1. 核对两款设备在上行端口（1G/10G与100M/1G）上的实际组网带宽需求与光模块匹配情况；2. 验证Aruba设备的Up to 370W PoE预算是否满足Alcatel-Lucent Enterprise设备的380W供电负荷；3. 确认园区网部署环境的兼容性与落地规范。","基于受控硬门槛和证据状态审阅，该关系在形态、下行介质、端口数、下行速率及PoE支持等硬门槛上已核验通过，但环境字段仍处于待复核状态。由于关键偏离明确包含上行速率差异（1G/10G对100M/1G）以及PoE电源预算差异（380W对Up to 370W），这些上行与PoE差异使得该型号组合不宜进行无条件的一对一直接替代。为确保项目选型严谨性，建议将其降级为部分替代关系（downgrade_to_partial），并在后续采购与配置阶段重点验证上行带宽与PoE供电能力。"
"21","rel_c092a9a72cdead1baa6a2984","OS6360-PH24","HPE Aruba Networking CX 6200F 24G Class-4 PoE 4SFP+ 370W Switch","keep_direct_candidate","P3：可进入人工审核","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","上行链路均为1G/10G与1/10G适配，PoE电源预算为380W与370W微幅差异，端口规格高度一致，不影响核心替换。","1. 核实两款交换机在实际高负载运行下的PoE总功率输出及供电冗余要求；2. 确认上行链路模块（1G/10G）在现网部署中的光模块兼容性及速率配置。","受控硬门槛中设备形态、下行介质、下行端口数、下行速率及PoE支持均已核验通过并适配，环境字段待复核。上行链路规格为1G/10G与1/10G相对应，PoE电源预算为380W对370W，属微小规格差异。核心硬件形态与基础功能高度一致，差异完全可作为采购验证项管理，建议维持直接候选关系。"
"22","rel_516463b04b3b17f268215bf9","OS6360-PH24","HPE Aruba Networking CX 6200F 24G Class4 PoE 4SFP+ 370W Switch","keep_direct_candidate","P3：可进入人工审核","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","上联接口速率同级适配，PoE 预算（380W ↔ 370W）差异极小，不阻碍一对一替代，可作为采购验证项管理。","1. 确认上行链路接口与速率（1G/10G ↔ 1/10G）的模块兼容性；2. 核实 380W 与 370W PoE 预算差异在实际满载供电下的裕度；3. 落实环境字段的官方型号级复核。","受控硬门槛中决定性指标均已核验且通过，环境字段待复核。上行速率规格对等，PoE 预算极为接近（380W 对 370W），差异可作为采购验证项管理。综合评估建议保持直接候选关系。"
"23","rel_ed12758c047b7d02c7db6c1f","OS6360-PH24","HPE Aruba Networking CX 6200M 24G Class4 PoE 4SFP+ Switch","move_to_insufficient_evidence","P1：先补证","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","上行存在1G/10G与1/10G差异，PoE预算存在380W与740W差异，需在采购阶段进一步核实兼容性与供电裕度。","1. 核验两款交换机在实际组网中的上行链路接口速率与模块兼容性；2. 评估 PoE 供电预算从 380W 提升至 740W 对实际终端负载及功耗规划的影响；3. 确认设备运行环境是否符合官方规范及待复核的部署场景要求。","在对 OS6360-PH24 与 HPE Aruba Networking CX 6200M 24G Class4 PoE 4SFP+ Switch 的直接候选关系进行审阅时，形态、下行介质、端口数、速率带宽及 PoE 支持等核心硬门槛已通过核验，但决定性硬门槛中的环境字段仍处于待复核状态，尚未具备可重放的官方型号级证据支持。同时，双方在上行链路（1G/10G ↔ 1/10G）与 PoE 预算（380W ↔ 740W）上存在明确的关键偏离。根据审阅规则，在决定性硬门槛证据链不完整的情况下，不宜直接维持直接候选关系，建议将其调整为证据不足状态（move_to_insufficient_evidence），并由产品经理在采购验证阶段进一步核查。"
"24","rel_b047db0ebe0c48010188068a","OS6560-P24X4","HPE Aruba Networking CX 6100 24G Class4 PoE 4SFP+ 370W Switch","move_to_insufficient_evidence","P1：先补证","硬门槛存在待复核项；环境字段待复核且PoE预算未披露。","至少一方待复核","双方已核验","上行链路为1G/10G对1G/10G SFP，PoE预算为未披露对370W，关键偏离及环境待复核妨碍了一对一替代。","1. 请向官方技术文档核验OS6560-P24X4的具体PoE电源预算；2. 请核实该型号在对应部署环境下的官方运行资质与环境硬门槛状态。","经审阅记录核查，该直接候选关系的决定性硬门槛中环境字段处于待复核状态（needs_review），且PoE预算在ALE侧未披露，缺乏充分且可重放的官方型号级证据。基于审阅规则，决定性硬门槛尚缺可重放的官方型号级证据，不宜作为直接候选，因此审阅建议将其移至证据不足分类。"
"25","rel_707128ffdcb251c747512fa5","OS6560-P24X4","HPE Aruba Networking CX 6200F 24G Class-4 PoE 4SFP 370W Switch","downgrade_to_partial","P2：先验证偏离项","硬门槛核心项已核验；环境字段待复核","至少一方待复核","双方已核验","上行链路存在 1G/10G 与 100M/1G 差异，且 ALE 侧 PoE 预算未披露而对标机型为 Up to 370W，该关键偏离妨碍直接进行一对一替代。","1. 向官方文档核实 ALE OS6560-P24X4 的详细 PoE 预算与上行端口配置；2. 评估 HPE Aruba CX 6200F 的 100M/1G 上行及 370W PoE 供电是否满足目标场景的实际需求。","基于受控硬门槛和输入证据记录，受试型号 OS6560-P24X4 与对标型号在基础形态、下行端口及 PoE 支持等硬门槛上基本相符，但环境字段处于待复核状态。关键偏离表明上行链路存在 1G/10G 与 100M/1G 的规格差异，同时 ALE 侧 PoE 预算未披露，无法直接确认功率对等性。鉴于上述上行和 PoE 差异以及环境待复核状态，该关系不宜作为直接候选一对一替代，建议降级为部分替代并在采购阶段进行严格核验。"
"26","rel_74782e63b6a619075ad86b26","OS6560-P24X4","HPE Aruba Networking CX 6200F 24G Class-4 PoE 4SFP+ 370W Switch","move_to_insufficient_evidence","P1：先补证","环境硬门槛处于待复核状态，且 ALE 端 PoE 预算信息未披露，决定性证据尚不完整。","至少一方待复核","双方已核验","上行存在 1G/10G 与 1/10G 差异，PoE 预算存在 ALE 端未披露而 HPE Aruba 端为 370W 的差异。","1. 核实 ALE OS6560-P24X4 在实际部署环境中的官方技术规格与认证状态；2. 确认 ALE 端实际 PoE 预算是否满足项目供电需求；3. 评估上行 1G/10G 与 1/10G 接口在组网中的兼容性与配置要求。","基于受控记录，该关系中环境硬门槛处于待复核状态且未能完成核验，同时 ALE 端 PoE 预算处于未披露状态，无法满足决定性硬门槛的官方型号级证据要求。此外，上行带宽与 PoE 预算存在关键偏离。根据审阅规则，若决定性硬门槛尚缺可重放的官方型号级证据，则不宜直接保留或降级，应建议移入证据不足池。"
"27","rel_ce0a9f05b92fe3d680f24327","OS6560-P24X4","HPE Aruba Networking CX 6200F 24G Class4 PoE 4SFP+ 370W Switch","move_to_insufficient_evidence","P1：先补证","硬门槛完整度不足；环境字段处于待复核状态且 PoE 预算未披露。","至少一方待复核","双方已核验","上行速率存在 1G/10G 与 1/10G 的表述差异，且 PoE 预算在 ALE 侧未披露（对比 Aruba 侧 370W），因关键参数缺失和硬门槛未核验而无法直接支持一对一替代。","1. 向官方核实 ALE OS6560-P24X4 的具体 PoE 预算及供电能力；2. 确认两款交换机在园区（Campus）场景下的环境适用性与部署规范；3. 核对上行端口（1G/10G 与 1/10G）在实际网络部署中的兼容性。","根据受控输入记录，该直接候选关系（关系标识 rel_ce0a9f05b92fe3d680f24327，审阅编号 27）连接了 ALE OS6560-P24X4 与 HPE Aruba Networking CX 6200F 24G Class4 PoE 4SFP+ 370W Switch。在硬门槛方面，环境（environment）硬门槛处于待复核状态（needs_review，verified 为 false），且关键偏离显示上行存在 1G/10G 与 1/10G 差异、PoE 预算在 ALE 侧未披露而 Aruba 侧为 370W。由于决定性硬门槛尚缺可重放的官方型号级证据且关键参数未披露，符合“若决定性硬门槛尚缺可重放的官方型号级证据，则建议 move_to_insufficient_evidence”的判断规则，因此建议将该关系移至证据不足分类。"
